DRUH	NOVÁ AKREDITACE	NÁZEV SP/SO	TYP SP	NÁZEV SP	VYSOKÁ ŠKOLA	FAKULTA	FS	ISCED-F	SDS	JAZYK	PROFIL	OV1	PODIL OV1	OV2	PODIL OV2	OV3	PODIL OV3	OV4	PODIL OV4	OV5	PODIL OV5	KRAJ	PLATNOST AKREDITACE DO
SP	ANO	Algebra and Geometry	doktorský	Algebra and Geometry	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1	0541	4	angličtina		Matematika	100		0		0		0		0	Olomoucký	8.8.2028
SO	NE	Algebra, Number Theory and Mathematical Logic	doktorský	Mathematics	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0541	4	angličtina												Jihomoravský	31.12.2024
SP	ANO	Algebra, number theory, and mathematical logic	doktorský	Algebra, number theory, and mathematical logic	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1	0541	4	angličtina		Matematika	100		0		0					Praha	28.11.2028
SO	NE	Algebra, teorie čísel a matematická logika	doktorský	Matematika (čtyřletá)	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0541	4	čeština												Jihomoravský	31.12.2024
SO	NE	Algebra, teorie čísel a matematická logika	doktorský	Matematika	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1		4	čeština												Praha	31.12.2024
SO	NE	Algebra, teorie čísel a matematická logika	doktorský	Matematika	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1		4	čeština												Praha	31.12.2024
SO	NE	Algebra, teorie čísel a matematická logika	doktorský	Matematika	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1	0541	4	čeština												Praha	31.12.2024
SP	ANO	Algebra, teorie čísel a matematická logika	doktorský	Algebra, teorie čísel a matematická logika	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1	0541	4	čeština		Matematika	100		0		0					Praha	28.11.2028
SO	NE	Algebra, Theory of Numbers and Mathematical Logic	doktorský	Mathematics	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1		4	angličtina												Praha	31.12.2024
SO	NE	Algebra, Theory of Numbers and Mathematical Logic	doktorský	Mathematics	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1		4	angličtina												Praha	31.12.2024
SO	NE	Algebra, Theory of Numbers and Mathematical Logic	doktorský	Mathematics	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1	0541	4	angličtina												Praha	31.12.2024
SO	NE	Alternativní a loutková tvorba a její teorie	doktorský	Dramatická umění (čtyřleté)	Akademie múzických umění v Praze	Divadelní fakulta	3, 1	0215	4	čeština												Praha	31.12.2024
SP	ANO	Alternativní a loutkové divadlo	navazující magisterský	Alternativní a loutkové divadlo	Akademie múzických umění v Praze	Divadelní fakulta	1	0215	2	čeština	akademicky zaměřený	Umění 	100		0		0		0		0	Praha	10.1.2030
SO	NE	Alternativní energie a životní prostředí	bakalářský	Technologie pro ochranu životního prostředí	Vysoká škola chemicko-technologická v Praze	Fakulta technologie ochrany prostředí	1	0712	3	čeština												Praha	31.12.2024
SO	NE	Americká studia	navazující magisterský	Mezinárodní teritoriální studia	Univerzita Karlova	Fakulta sociálních věd	1	0312	2	čeština												Praha	31.12.2024
SP	ANO	Analytical and Physical Chemistry	doktorský	Analytical and Physical Chemistry	Vysoká škola chemicko-technologická v Praze	Fakulta chemicko-inženýrská	3, 1	0531	4	angličtina		Chemie 	100		0		0		0		0	Praha	29.9.2029
SO	NE	Analytical Biochemistry	navazující magisterský	Biochemistry	Masarykova univerzita	Přírodovědecká fakulta	1	0512	2	angličtina												Jihomoravský	31.12.2024
SP	ANO	Analytical Geochemist	doktorský	Analytical Geochemist	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0588	4	angličtina		Chemie 	50	Vědy o Zemi 	50		0		0		0	Jihomoravský	9.12.2026
SO	NE	Analytical Chemistry	doktorský	Chemistry	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0531	4	angličtina												Jihomoravský	31.12.2024
SO	NE	Analytical Chemistry	navazující magisterský	Chemistry	Univerzita Karlova	Přírodovědecká fakulta	1	0531	2	angličtina												Praha	31.12.2024
SO	NE	Analytical Chemistry	doktorský	Chemistry	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1	0531	4	angličtina												Olomoucký	31.12.2024
SO	NE	Analytical Chemistry	doktorský	Analytická chemie (čtyřleté)	Univerzita Pardubice	Fakulta chemicko-technologická	3, 1	0531	4	angličtina												Pardubický	31.12.2024
SO	NE	Analytical Chemistry	doktorský	Chemistry	Vysoká škola chemicko-technologická v Praze	Fakulta chemicko-inženýrská	3, 1		4	angličtina												Praha	31.12.2024
SO	NE	Analytical Chemistry	doktorský	Chemistry	Vysoká škola chemicko-technologická v Praze	Fakulta chemicko-inženýrská	3, 1		4	angličtina												Praha	31.12.2024
SO	NE	Analytical Chemistry	doktorský	Chemistry	Vysoká škola chemicko-technologická v Praze	Fakulta chemicko-inženýrská	3, 1		4	angličtina												Praha	31.12.2024
SO	NE	Analytical Chemistry	doktorský	Chemistry	Vysoká škola chemicko-technologická v Praze	Fakulta chemicko-inženýrská	3, 1	0531	4	angličtina												Praha	31.12.2024
SP	NE	Analytical Chemistry	doktorský	Analytical Chemistry	Univerzita Karlova	Přírodovědecká fakulta	3, 1		4	angličtina												Praha	31.12.2024
SP	NE	Analytical Chemistry	doktorský	Analytical Chemistry	Univerzita Karlova	Přírodovědecká fakulta	3, 1		4	angličtina												Praha	31.12.2024
SP	NE	Analytical Chemistry	doktorský	Analytical Chemistry	Univerzita Karlova	Přírodovědecká fakulta	3, 1		4	angličtina												Praha	31.12.2024
